/api                  (Status: 301) [Size: 178] [--> https://salesos.ciklo.me/api/]
/cgi-bin/             (Status: 308) [Size: 8] [--> /cgi-bin]
/dashboard            (Status: 200) [Size: 11997]
/favicon.ico          (Status: 200) [Size: 25931]
/forgot-password      (Status: 200) [Size: 13445]
/import               (Status: 200) [Size: 12236]
/leads                (Status: 200) [Size: 12724]
/login                (Status: 200) [Size: 14325]
/products             (Status: 200) [Size: 12485]
/properties           (Status: 200) [Size: 12489]
/quotes               (Status: 200) [Size: 12481]
/register             (Status: 200) [Size: 16635]
/settings             (Status: 200) [Size: 12294]
/tasks                (Status: 200) [Size: 12234]
